date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:01:28	14/14	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Aug%202016%2009:31:23%20GMT	http://codingfeat.com/robots.txt		(from )
15:01:29	102695/102695	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	http://codingfeat.com/wpthemes/ena/	C:/My%20Web%20Sites/john%20doe/codingfeat.com/wpthemes/ena/index.html	(from )
15:01:29	29255/29255	---M-Z	200	added ('OK')	text/css	etag:%2219a2-539b290a0ab7e%22	http://codingfeat.com/wpthemes/ena/wp-content/cache/minify/000000/M9BPzUvUTy4u1k_LzyvRTSxPLc7PTdXLzcwDAA.css	C:/My%20Web%20Sites/john%20doe/codingfeat.com/wpthemes/ena/wp-content/cache/minify/000000/M9BPzUvUTy4u1k_LzyvRTSxPLc7PTdXLzcwDAA.css	(from http://codingfeat.com/wpthemes/ena/)
15:01:30	12933/12933	---M-Z	200	added ('OK')	text/css	etag:%221136-539b2909e3a7e%22	http://codingfeat.com/wpthemes/ena/wp-content/cache/minify/000000/hc_NDsIgDAfwF7IS4mHzcWrpZg0DpCW4t5fMi7dd2uSfX_rhnYpxrrJKgoKJozpSdUvNyS7eIRGrljoKWBczrrAwhwO93o3rfn18NErgesaPmZzCqRtMB6LRkQyWXDeYnCSKLfDvPrU9sl56sSdvI-OErhegY4O5VmLGoP_PdQkr24hyB9lwZQi8YIsGnm7znXCeyOMX.css	C:/My%20Web%20Sites/john%20doe/codingfeat.com/wpthemes/ena/wp-content/cache/minify/000000/hc_NDsIgDAfwF7IS4mHzcWrpZg0DpCW4t5fMi7dd2uSfX_rhnYpxrrJKgoKJozpSdUvNyS7eIRGrljoKWBczrrAwhwO93o3rfn18NErgesaPmZzCqRtMB6LRkQyWXDeYnCSKLfDvPrU9sl56sSdvI-OE	(from http://codingfeat.com/wpthemes/ena/)
15:01:31	319555/319555	---M-Z	200	added ('OK')	text/css	etag:%22a713-539b290ac53de%22	http://codingfeat.com/wpthemes/ena/wp-content/cache/minify/000000/bcpBCsMwDAXRC9V2rqS6343AkkwkE3r7LgLFhG7fzFagVKp7EXorN65p2Jjjsf2CnT1XOmw6-o1jhyC_0Gj2WFozjUQn3ASJlIWCTbOwLtPluInzn_VpFh4HjcU9Ph1f.css	C:/My%20Web%20Sites/john%20doe/codingfeat.com/wpthemes/ena/wp-content/cache/minify/000000/bcpBCsMwDAXRC9V2rqS6343AkkwkE3r7LgLFhG7fzFagVKp7EXorN65p2Jjjsf2CnT1XOmw6-o1jhyC_0Gj2WFozjUQn3ASJlIWCTbOwLtPluInzn_VpFh4HjcU9Ph1f.css	(from http://codingfeat.com/wpthemes/ena/)
15:01:32	901/901	---M-Z	200	added ('OK')	text/xml	date:Tue,%2030%20Aug%202016%2009:31:26%20GMT	http://codingfeat.com/wpthemes/ena/xmlrpc.php?rsd	C:/My%20Web%20Sites/john%20doe/codingfeat.com/wpthemes/ena/xmlrpc0db0.php	(from http://codingfeat.com/wpthemes/ena/)
15:01:33	138573/138573	---M-Z	200	added ('OK')	application/x-javascript	etag:%22b707-539b28d48973e%22	http://codingfeat.com/wpthemes/ena/wp-content/cache/minify/000000/jY7hCsMgDIRfqFa6N3J6bhma2Rixe_ulMNjfQshx5L4js-kTFd2Dg5_NEccykvmXzT4gn58s82rSVXpIUKyVeNl8iBG9N7HldJIqxGUg_bn1fvRCCXKByPJmBSeL2Q8CJQ7udpynRlGHIFMpZ9EX.js	C:/My%20Web%20Sites/john%20doe/codingfeat.com/wpthemes/ena/wp-content/cache/minify/000000/jY7hCsMgDIRfqFa6N3J6bhma2Rixe_ulMNjfQshx5L4js-kTFd2Dg5_NEccykvmXzT4gn58s82rSVXpIUKyVeNl8iBG9N7HldJIqxGUg_bn1fvRCCXKByPJmBSeL2Q8CJQ7udpynRlGHIFMpZ9EX.3.d	(from http://codingfeat.com/wpthemes/ena/)
15:01:33	1107/1107	---M-Z	200	added ('OK')	application/json	date:Tue,%2030%20Aug%202016%2009:31:27%20GMT	http://codingfeat.com/wpthemes/ena/?rest_route=/	C:/My%20Web%20Sites/john%20doe/codingfeat.com/wpthemes/ena/index52f0.html	(from http://codingfeat.com/wpthemes/ena/)
15:01:33	1045/1045	---M-Z	200	added ('OK')	application/xml	etag:%22415-531dc654f6fdd-gzip%22	http://codingfeat.com/wpthemes/ena/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/john%20doe/codingfeat.com/wpthemes/ena/wp-includes/wlwmanifest.xml	(from http://codingfeat.com/wpthemes/ena/)
15:01:33	1991/1991	---M--	200	added ('OK')	application/rss+xml	date:Thu,%2028%20Apr%202016%2017:57:52%20GMT	http://codingfeat.com/wpthemes/ena/?feed=comments-rss2	C:/My%20Web%20Sites/john%20doe/codingfeat.com/wpthemes/ena/indexa6da.html	(from http://codingfeat.com/wpthemes/ena/)
15:01:34	1710/1710	---M--	200	added ('OK')	image/png	etag:%226ae-531dcab625d9d%22	http://codingfeat.com/wpthemes/ena/wp-content/uploads/2016/05/logo_dark.png	C:/My%20Web%20Sites/john%20doe/codingfeat.com/wpthemes/ena/wp-content/uploads/2016/05/logo_dark.png	(from http://codingfeat.com/wpthemes/ena/)
15:01:34	9924/9924	---MC-	200	added ('OK')	application/rss+xml	date:Wed,%2010%20Aug%202016%2010:14:15%20GMT	http://codingfeat.com/wpthemes/ena/?feed=rss2	C:/My%20Web%20Sites/john%20doe/codingfeat.com/wpthemes/ena/indexd784.html	(from http://codingfeat.com/wpthemes/ena/)
15:01:35	1713/1713	---M--	200	added ('OK')	image/png	etag:%226b1-531dcab6693bd%22	http://codingfeat.com/wpthemes/ena/wp-content/uploads/2016/05/logo_light.png	C:/My%20Web%20Sites/john%20doe/codingfeat.com/wpthemes/ena/wp-content/uploads/2016/05/logo_light.png	(from http://codingfeat.com/wpthemes/ena/)
15:01:35	2255/2255	---M-Z	200	added ('OK')	application/json	date:Tue,%2030%20Aug%202016%2009:31:29%20GMT	http://codingfeat.com/wpthemes/ena/?rest_route=%2Foembed%2F1.0%2Fembed&url=http%3A%2F%2Fcodingfeat.com%2Fwpthemes%2Fena%2F	C:/My%20Web%20Sites/john%20doe/codingfeat.com/wpthemes/ena/indexc419.html	(from http://codingfeat.com/wpthemes/ena/)
